train_years;test_years;model_class;model_params;match_features;player_features;encoding_params;additional_features;precision
[2018, 2019, 2020];[2021, 2022];BestRankedPlayerWins;{};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6345580007459903
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 31, 'objective': 'binary'}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6864043267437523
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6713912719134651
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6697127937336814
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6690600522193212
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6678478179783662
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6734427452443118
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.675307720999627
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6748414770607982
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6758672137262216
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6727900037299515
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6790376725102574
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6800634091756808
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6804364043267438
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 10, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6276575904513242
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 100, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.681928384930996
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 1000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6785714285714286
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 2000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6786646773591943
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 10, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6778254382693025
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 100, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6849123461395001
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 1000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.664490861618799
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 2000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6495710555762775
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 10, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6824878776575904
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 100, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6866840731070496
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 1000, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6575904513241327
[2018, 2019, 2020];[2021, 2022];GradientBoostingClassifier;{'n_estimators': 2000, 'max_depth': 5};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6496643043640433
[2018, 2019, 2020];[2021, 2022];BestRankedPlayerWins;{};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6345580007459903
[2018, 2019, 2020];[2021, 2022];BestRankedPlayerWins;{};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6345580007459903
[2018, 2019, 2020];[2021, 2022];BestRankedPlayerWins;{};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6345580007459903
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 10, 'objective': 'binary', 'min_data_in_leaf': 10}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6791309212980231
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 10, 'objective': 'binary', 'min_data_in_leaf': 100}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6790376725102574
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 10, 'objective': 'binary', 'min_data_in_leaf': 1000}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6806229019022753
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 100, 'objective': 'binary', 'min_data_in_leaf': 10}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6841663558373741
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 100, 'objective': 'binary', 'min_data_in_leaf': 100}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6854718388660948
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 100, 'objective': 'binary', 'min_data_in_leaf': 1000}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6821148825065274
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 1000, 'objective': 'binary', 'min_data_in_leaf': 10}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6614136516225289
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 1000, 'objective': 'binary', 'min_data_in_leaf': 100}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6854718388660948
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 1000, 'objective': 'binary', 'min_data_in_leaf': 1000}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6821148825065274
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 2000, 'objective': 'binary', 'min_data_in_leaf': 10}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6614136516225289
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 2000, 'objective': 'binary', 'min_data_in_leaf': 100}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6854718388660948
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 2000, 'objective': 'binary', 'min_data_in_leaf': 1000}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6821148825065274
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6532077582991421
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6690600522193212
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.669899291309213
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6698060425214473
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.669899291309213
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6758672137262216
